Ngram	Surprisal
Alright so	26.3177276477
so there	17.412629306
there is	13.8842217918
is a	11.7921622691
a a	14.8118827253
a herd	17.4846511123
herd of	25.2764509679
of sheep	16.5200382364
sheep running	28.9060630349
running along	22.6361284222
along which	22.0006340468
which has	14.9123362436
has now	16.6528877227
now sort	23.8168314708
sort of	16.6291090273
of gone	17.3964123609
gone and	20.8991599342
and turned	14.7296852318
turned into	19.687001404
into a	15.0253969941
a herd	17.4846511123
herd of	25.2764509679
of people	12.8114448822
people who	16.0199315719
who are	15.5188015969
are coming	17.3722215999
coming out	19.9875276675
out from	17.1740017396
from what	16.7431054378
what looks	20.0693460896
looks like	20.0601543453
like an	17.2710913034
an underground	19.1616295744
underground station	25.8031226001
station and	21.6693330197
and they	12.2718587221
they are	13.7669087777
are now	15.1405108465
now crossing	25.182445088
crossing the	22.9637431732
the road	12.3516086745
road in	21.2932864175
in between	15.6273271259
between some	21.0699791347
some cars	22.455936357
cars going	25.1016192263
going towards	21.5807896715
towards what	22.3459642829
what looks	20.0693460896
looks like	20.0601543453
like a	15.115606819
a factory	16.2943716351
factory .	22.3872528645
. And	9.91861258478
And all	18.798287874
all of	15.3507271149
of them	11.8371531457
them are	17.5481086311
are wearing	19.4824348002
wearing hats	27.2934066747
hats so	30.2113315008
so it	16.1724838612
it looks	15.8987541559
looks quite	23.1852687904
quite formal	24.3562868329
formal .	23.7182703754
. So	10.6390140518
So ,	17.6077825277
, it	9.95474423567
it looks	15.8987541559
looks like	20.0601543453
like they	18.739509229
they are	13.7669087777
are all	15.4629744898
all kind	21.0833746699
kind of	17.1031326562
of going	14.9760442323
going to	15.4068503931
to work	12.6952794229
work and	17.311630006
and clocking	21.0069550913
clocking into	32.4262315893
into work	20.1227898015
work .	16.1557798734
. And	9.91861258478
And they	17.3500102568
they are	13.7669087777
are all	15.4629744898
all walking	22.4696690311
walking around	23.0304705841
around inside	22.3196295899
inside this	23.7869087107
this factory	21.0497743963
factory now	26.9220005862
now .	15.724668543
